      n              temps              ternes       
         1000          0.008428                  881
         2000          0.035120                 2862
         3000          0.074527                 6034
         4000          0.131923                10450
         5000          0.206448                19511
         6000          0.295896                33662
         7000          0.402389                53356
         8000          0.525569                78652
         9000          0.671110               114334
        10000          0.826144               164448
        11000          0.994288               230174
        12000          1.182085               312108
        13000          1.390311               411098
        14000          1.622583               527648
        15000          1.846946               662323
        16000          2.100261               815679
        17000          2.370531               998714
        18000          2.665453              1218799
        19000          2.961477              1479006
        20000          3.282772              1782030
        21000          3.674366              2129377
        22000          3.999884              2522471
        23000          4.343813              2962438
        24000          4.785072              3450652
        25000          5.154308              3988640
        26000          5.544266              4580678
        27000          5.982491              5228365
        28000          6.434677              5933013
        29000          6.908459              6695938
        30000          7.425255              7518619
        31000          7.890442              8402444
        32000          8.404282              9348668
        33000          8.942902             10372145
        34000          9.486351             11518417
        35000         10.122498             12790803
        36000         10.921829             14191549
        37000         12.104950             15724115
        38000         11.986938             17394355
        39000         12.387360             19204941
        40000         12.979141             21158530
        41000         13.580307             23258319
        42000         14.189285             25506907
        43000         14.735519             27907367
        44000         15.240784             30464817
        45000         15.784836             33182884
        46000         16.347382             36064711
        47000         16.858551             39003189
        48000         17.422882             41944719
        49000         17.922516             44892887
        50000         18.545593             47852079
        51000         19.186462             50826542
        52000         19.776459             53820722
        53000         20.302856             56841763
        54000         21.225464             59898092
        55000         21.670624             62998867
        56000         22.389435             66153686
        57000         23.178802             69371339
        58000         23.922150             72655633
        59000         24.702820             76008952
        60000         25.501648             79433252
        61000         26.409912             82931431
        62000         27.053223             86505797
        63000         27.886292             90160847
        64000         28.778625             93900099
        65000         29.809570             97729020
        66000         30.765198            101702407
        67000         31.668884            105784496
        68000         32.679199            109985831
        69000         33.598267            114311503
        70000         34.651062            118765745
        71000         35.709961            123355145
        72000         36.646667            128088557
        73000         37.871948            132976137
        74000         38.907227            138034475
        75000         40.162903            143258366
        76000         41.176514            148637280
        77000         42.167603            154160443
        78000         43.317383            159814935
        79000         44.495850            165584976
        80000         45.197388            171448610
        81000         46.300781            177369362
        82000         47.371094            183346271
        83000         48.247803            189384760
        84000         49.345947            195491899
        85000         50.399780            201675963
        86000         51.563721            207947354
        87000         52.576172            214316088
        88000         54.038818            220787672
        89000         54.988037            227365343
        90000         56.282349            234053430
        91000         57.452393            240856832
        92000         58.771484            247783331
        93000         60.444458            254843176
        94000         61.347900            262051360
        95000         63.070190            269421169
        96000         64.381104            276956435
        97000         65.528320            284664517
        98000         66.997559            292555999
        99000         68.372559            300649153
       100000         69.984863            308935069
