#Quantes vegades vols fer f(x)?
#Quin vols que sigui el pas?
#quin vols que sigui h?
0.000000e+00 0.000000e+00 1.592010e+01 0.000000e+00 3.969000e+01
1.000000e-03 1.584079e-02 1.576160e+01 3.896010e-02 3.823612e+01
2.000000e-03 3.152345e-02 1.560386e+01 7.648396e-02 3.681742e+01
3.000000e-03 4.704875e-02 1.544688e+01 1.126064e-01 3.543326e+01
4.000000e-03 6.241745e-02 1.529065e+01 1.473618e-01 3.408304e+01
5.000000e-03 7.763031e-02 1.513518e+01 1.807836e-01 3.276614e+01
6.000000e-03 9.268807e-02 1.498047e+01 2.129050e-01 3.148196e+01
7.000000e-03 1.075915e-01 1.482651e+01 2.437583e-01 3.022990e+01
8.000000e-03 1.223413e-01 1.467330e+01 2.733753e-01 2.900939e+01
9.000000e-03 1.369384e-01 1.452084e+01 3.017874e-01 2.781984e+01
1.000000e-02 1.513833e-01 1.436913e+01 3.290251e-01 2.666068e+01
1.100000e-02 1.656769e-01 1.421817e+01 3.551187e-01 2.553135e+01
1.200000e-02 1.798199e-01 1.406795e+01 3.800976e-01 2.443130e+01
1.300000e-02 1.938130e-01 1.391848e+01 4.039908e-01 2.335997e+01
1.400000e-02 2.076571e-01 1.376975e+01 4.268269e-01 2.231684e+01
1.500000e-02 2.213528e-01 1.362176e+01 4.486337e-01 2.130136e+01
1.600000e-02 2.349008e-01 1.347451e+01 4.694387e-01 2.031302e+01
1.700000e-02 2.483020e-01 1.332799e+01 4.892686e-01 1.935129e+01
1.800000e-02 2.615571e-01 1.318222e+01 5.081500e-01 1.841567e+01
1.900000e-02 2.746667e-01 1.303717e+01 5.261085e-01 1.750566e+01
2.000000e-02 2.876317e-01 1.289287e+01 5.431696e-01 1.662075e+01
2.100000e-02 3.004527e-01 1.274929e+01 5.593582e-01 1.576046e+01
2.200000e-02 3.131305e-01 1.260644e+01 5.746986e-01 1.492432e+01
2.300000e-02 3.256658e-01 1.246433e+01 5.892147e-01 1.411183e+01
2.400000e-02 3.380594e-01 1.232293e+01 6.029300e-01 1.332254e+01
2.500000e-02 3.503119e-01 1.218227e+01 6.158674e-01 1.255599e+01
2.600000e-02 3.624242e-01 1.204233e+01 6.280494e-01 1.181171e+01
2.700000e-02 3.743968e-01 1.190311e+01 6.394981e-01 1.108927e+01
2.800000e-02 3.862306e-01 1.176461e+01 6.502351e-01 1.038822e+01
2.900000e-02 3.979263e-01 1.162684e+01 6.602815e-01 9.708131e+00
3.000000e-02 4.094845e-01 1.148978e+01 6.696582e-01 9.048566e+00
3.100000e-02 4.209061e-01 1.135343e+01 6.783854e-01 8.409107e+00
3.200000e-02 4.321916e-01 1.121781e+01 6.864830e-01 7.789338e+00
3.300000e-02 4.433419e-01 1.108289e+01 6.939705e-01 7.188850e+00
3.400000e-02 4.543576e-01 1.094869e+01 7.008670e-01 6.607239e+00
3.500000e-02 4.652395e-01 1.081520e+01 7.071911e-01 6.044108e+00
3.600000e-02 4.759883e-01 1.068241e+01 7.129612e-01 5.499065e+00
3.700000e-02 4.866046e-01 1.055034e+01 7.181951e-01 4.971725e+00
3.800000e-02 4.970892e-01 1.041897e+01 7.229104e-01 4.461709e+00
3.900000e-02 5.074428e-01 1.028830e+01 7.271242e-01 3.968642e+00
4.000000e-02 5.176660e-01 1.015834e+01 7.308532e-01 3.492156e+00
4.100000e-02 5.277597e-01 1.002908e+01 7.341139e-01 3.031889e+00
4.200000e-02 5.377244e-01 9.900515e+00 7.369223e-01 2.587485e+00
4.300000e-02 5.475609e-01 9.772651e+00 7.392941e-01 2.158591e+00
4.400000e-02 5.572699e-01 9.645484e+00 7.412445e-01 1.744864e+00
4.500000e-02 5.668521e-01 9.519012e+00 7.427887e-01 1.345961e+00
4.600000e-02 5.763082e-01 9.393234e+00 7.439413e-01 9.615486e-01
4.700000e-02 5.856388e-01 9.268148e+00 7.447166e-01 5.912970e-01
4.800000e-02 5.948447e-01 9.143753e+00 7.451285e-01 2.348818e-01
4.900000e-02 6.039266e-01 9.020046e+00 7.451908e-01 -1.080161e-01
